"codidist","codibarri","id","nom","erc","bcomu","psc","cs","junts","pp","cup","bcap","vox","partit","ptgcand","pob"
"9 ","58","58","Baró de Viver","19.6","22.7","28.8","13","2.9","3.8","1.8","1.1","2.3","psc","28.8",2535
"9 ","59","59","el Bon Pastor","18.8","24.1","27.5","12.1","5.1","5","2.2","1.5","1.2","psc","27.5",12740
"9 ","60","60","Sant Andreu","23.6","23.7","19.5","10.9","7.9","4.1","4.3","2.9","0.8","bcomu","23.7",57662
"9 ","61","61","la Sagrera","21.6","22.8","20.9","12.2","6.8","6.4","3.5","2.6","1.2","bcomu","22.8",29197
"9 ","62","62","el Congrés i els Indians","24.4","24.1","18.4","9","9.1","3.8","5.2","3.3","0.8","erc","24.4",14196
"9 ","63","63","Navas","24.3","21.3","18.6","11.3","9.8","4.8","3.4","3.5","1","erc","24.3",22159
"10 ","64","64","el Camp de l'Arpa del Clot","25.9","22.7","16.3","8.8","10.6","4.1","4.5","4.1","0.6","erc","25.9",38440
"10 ","65","65","el Clot","22.7","23.7","19.2","11.4","7.6","4.3","4.5","3.4","1","bcomu","23.7",27050
"10 ","66","66","el Parc i la Llacuna del Poblenou","22.7","24.3","18.9","11.7","8.1","4.5","4","3.1","1.1","bcomu","24.3",15426
"10 ","67","67","la Vila Olímpica del Poblenou","21.6","21.5","16.5","14.2","11.7","3.3","4.4","4.9","0.6","erc","21.6",9312
"10 ","68","68","el Poblenou","27","25.8","15.4","8.3","9.5","2.3","5.4","4","0.6","erc","27",33985
"10 ","69","69","Diagonal Mar i el Front Marítim del Poblenou","22.1","22.5","19.1","14.8","8","3.6","3.4","3.8","0.9","bcomu","22.5",13681
"10 ","70","70","el Besòs i el Maresme","17.3","19.3","31.8","12.9","3.2","6.3","2.3","0.9","2.5","psc","31.8",23546
"10 ","71","71","Provençals del Poblenou","22.3","23.6","22","12.8","6.4","3.8","3.4","2.7","1.1","bcomu","23.6",20766
"10 ","72","72","Sant Martí de Provençals","20.7","21.6","23","13.4","6.4","6.4","2.9","1.9","1.5","psc","23",26092
"10 ","73","73","la Verneda i la Pau","16.3","20.3","28.6","15.3","3.6","8","2","1.4","1.8","psc","28.6",28814
